id,proyecto_ley_estado_id,comision_id
2016,8244,8
2017,20939,12
2018,8269,8
2019,8263,8
2020,8322,8
2021,21120,12
2022,8383,8
2023,8391,8
2024,8398,8
2025,8487,12
2026,10403,11
2027,20842,13
2028,10408,11
2030,29444,11
2031,9204,4
2032,18094,13
2033,10230,12
2034,10230,13
2036,7480,3
2037,7932,3
2038,8525,3
2039,18254,8
2040,21397,1
2041,10122,2
2042,10351,2
2043,7944,11
2044,7982,7
2045,8222,4
2046,8689,11
2047,9241,4
2048,12782,10
2049,8675,11
2050,21252,10
2051,10080,11
2052,18932,3
2053,9131,11
2054,21413,11
2056,9120,11
2057,20035,4
2058,21157,4
2059,21230,4
2060,8422,4
2061,8642,4
2062,20051,4
2063,21247,4
2064,8521,4
2065,8521,11
2066,10221,11
2067,7388,11
2068,10051,11
2069,12814,11
2070,21348,11
2071,18231,11
2072,18791,11
2073,20587,11
2074,12722,2
2075,12722,14
2076,21101,4
2077,21175,4
2078,9638,4
2079,7560,4
2080,7558,4
2081,8346,4
2082,8409,4
2083,7972,8
2084,10263,12
2085,18564,8
2086,7446,4
2087,18431,8
2088,7939,8
2089,7959,8
2090,20850,12
2091,8331,8
2092,9998,12
2093,8937,10
2094,21200,9
2095,18756,8
2096,18558,8
2097,21001,10
2098,21377,3
2099,20614,1
2100,21324,3
2101,9540,3
2102,20640,10
2103,9622,8
2104,18164,1
2105,9778,2
2106,9842,4
2107,10753,2
2108,7965,8
2109,12750,8
2110,8254,8
2111,8342,8
2112,20638,9
2113,8656,4
2114,8658,4
2115,9126,11
2116,8114,6
2117,9123,11
2118,9116,11
2119,10300,11
2120,7139,4
2121,12735,4
2122,19637,4
2123,20060,4
2124,7179,4
2125,20027,4
2126,20031,4
2127,9426,7
2128,20010,4
2129,8312,4
2130,19806,4
2131,8950,4
2132,21313,3
2133,21334,1
2134,9067,7
2135,10260,10
2136,20789,10
2137,18080,9
2138,21041,1
2139,8311,2
2140,8591,2
2141,20894,2
2142,20648,1
2143,18220,6
2144,20988,10
2145,11595,2
2146,20971,2
2147,9008,2
2148,9057,7
2149,12142,7
2150,19184,7
2152,10078,7
2153,19263,11
2154,10240,7
2155,20078,7
2156,19283,11
2157,8987,7
2158,9113,11
2159,8276,11
2160,18402,11
2161,27580,14
2162,21274,14
2163,18319,3
2164,21386,5
2165,18379,1
2167,21406,14
2168,21359,14
2170,20682,7
2172,10195,12
2173,7002,12
2174,7002,13
2175,19490,1
2176,7052,11
2177,7350,11
2178,18170,11
2179,7563,11
2180,8407,11
2181,8198,11
2182,7043,7
2183,7043,1
2184,8321,11
2185,8702,11
2186,7256,11
2187,18945,14
2188,8529,11
2189,9633,6
2190,19373,6
2191,7520,6
2192,20802,6
2193,30150,6
2194,19377,6
2195,18209,14
2196,9699,2
2197,10126,2
2198,20929,2
2199,20744,10
2200,7332,11
2201,7344,11
2202,7363,11
2203,11563,2
2204,8432,5
2205,21634,5
2206,10173,2
2207,20716,10
2208,10236,9
2209,8394,10
2210,6922,7
2211,6967,2
2212,8259,10
2213,7319,1
2214,21185,1
2215,8294,12
2216,8387,10
2217,8684,1
2218,9080,7
2219,6918,1
2220,8133,2
2222,9599,3
2224,7415,3
2226,7822,12
2227,7822,13
2228,7822,10
2229,7822,8
2230,18826,14
2231,19136,3
2232,7127,7
2233,21788,1
2234,7312,1
2236,7940,4
2238,9445,7
2239,20005,6
2240,8375,6
2241,8633,6
2242,20712,7
2243,7471,5
2244,18802,9
2245,7951,4
2246,8621,4
2248,7718,12
2249,7723,12
2250,7300,11
2251,7289,11
2252,9004,7
2253,18863,6
2254,9456,7
2255,19486,7
2256,7392,4
2257,11259,7
2258,7157,1
2259,7224,1
2260,7386,4
2262,7012,14
2263,12830,2
2264,7491,1
2265,7537,11
2266,8307,11
2268,18357,11
2269,7486,1
2270,7571,4
2271,7496,11
2272,9450,2
2273,9460,2
2274,19305,10
2275,18343,2
2277,7230,11
2278,7968,10
2279,18748,10
2280,7811,10
2281,9504,10
2282,8337,10
2283,18513,6
2284,7316,11
2285,8671,11
2286,18013,10
2287,9472,4
2288,18425,6
2289,9544,9
2290,19311,6
2291,9548,6
2292,9455,2
2293,8403,4
2294,9536,6
2295,19290,6
2296,7476,6
2297,6985,11
2298,7357,11
2299,7457,11
2300,7556,4
2301,7582,4
2302,19346,6
2303,8238,10
2304,19145,4
2305,8296,11
2306,8679,11
2307,19223,9
2308,6949,1
2309,7236,11
2310,7908,11
2311,7450,11
2312,8115,1
2313,7175,11
2314,8178,11
2315,8663,11
2316,22019,11
2317,8682,11
2318,7324,11
2319,19854,1
2320,7516,3
2321,18362,1
2322,9447,4
2323,9613,4
2324,18810,7
2325,7596,7
2326,17986,3
2327,8419,3
2328,9531,10
13626,44659,12
2330,9463,7
2331,19110,9
2332,6898,9
2333,7102,12
2334,7294,6
2335,7528,4
2336,7528,11
2337,7511,6
2339,7526,12
2340,18920,2
2341,19449,7
2342,7797,12
2343,18700,7
2344,19877,8
2345,19327,7
2346,9627,9
2347,19297,12
2348,19297,13
2349,18646,4
2350,7270,4
2351,17913,4
2352,7252,4
2353,7661,4
2354,7668,4
2355,7814,4
2356,7904,4
2357,9374,4
2358,19582,8
2359,9446,2
2360,7262,14
2361,7282,11
2362,7600,7
2363,19427,1
2364,7646,2
2365,7947,11
2366,9302,2
2367,18145,4
2368,18851,7
2369,7706,1
2370,19081,7
2371,19408,3
2372,20227,3
2373,19915,5
2374,9534,2
2375,8368,3
2376,7097,7
2377,7623,5
2378,8293,3
2379,9604,6
2380,7540,7
2381,7540,1
2382,18674,6
2383,7550,14
13682,44701,14
2385,7928,6
2386,8134,6
2387,9352,6
2388,9355,6
2389,7696,13
2390,18658,1
2391,18941,2
2392,7606,6
2395,9173,6
2396,18486,1
2397,21938,11
2400,18601,9
2401,19857,8
2402,18822,2
2403,9625,2
2405,7753,8
2406,7641,7
2407,7673,4
2408,19478,7
2409,7285,4
2410,18685,4
2411,19445,1
2412,9468,10
2413,9477,10
2414,18981,7
2415,9555,10
2416,9618,10
2417,19423,7
2419,7961,10
2420,7976,10
2421,8265,10
2422,18303,10
2423,8327,10
2424,18250,10
2425,8379,10
2426,8303,10
2427,12746,10
2428,7935,10
2429,8960,10
2430,18508,10
2431,8248,10
2432,9495,10
2433,7954,10
2434,7494,4
2435,18459,2
2436,8356,3
13744,44734,1
2438,9139,3
2439,6970,7
2440,6970,1
2441,7655,14
2442,18126,4
2443,18398,4
2444,18467,4
13800,44788,7
2446,9590,12
2447,6977,4
2448,18174,12
2449,18090,12
2450,9609,12
2451,19277,1
2452,8272,4
2453,8117,14
2454,19323,1
2455,20202,9
2456,17928,4
2457,8001,14
2458,18654,7
2459,19337,1
2460,7880,3
2461,19434,1
2463,7501,3
2464,19549,5
2465,18241,6
2466,7567,11
2467,7578,11
2468,19441,7
13627,44660,12
2470,19456,7
2471,5057,6
2472,19723,3
2473,18375,7
2474,7503,6
2475,19357,3
2476,18423,6
2477,17996,6
2478,7893,14
2479,18048,6
2480,8225,14
2481,19417,1
2482,7277,4
2483,7572,4
2485,7802,2
2486,7988,7
2487,9594,9
2488,18028,9
2489,7209,9
2490,7610,3
2491,8374,3
2492,18119,4
2493,8507,13
2494,6478,4
2495,18305,2
2496,6121,5
2497,18106,2
2498,8022,7
2499,21871,11
2500,5449,12
2501,5449,13
2502,5449,10
2503,5449,8
2504,7763,7
2505,20195,4
2506,19685,1
2507,19460,1
2508,7847,1
2509,7664,11
2510,7759,4
